Year,County,PQI,PQIDescription,Count_ICD9,Population_ICD9,ObsRate_ICD9,RiskAdjRate_ICD9,Count_ICD10,Population_ICD10,ObsRate_ICD10,RiskAdjRate_ICD10,AnnotationCode,AnnotationDesc
2018,Lake,91,Acute Composite,,,,,179,"50,861",351.9,286.1,,
2019,Lake,91,Acute Composite,,,,,206,"50,831",405.3,326.5,,
2020,Lake,91,Acute Composite,,,,,146,"53,524",272.8,222.1,,
2021,Lake,91,Acute Composite,,,,,115,"53,734",214,173.4,,
2022,Lake,91,Acute Composite,,,,,121,"53,341",226.8,178.9,,
2023,Lake,91,Acute Composite,,,,,160,"52,978",302,196.2,,
2024,Lake,91,Acute Composite,,,,,143,"52,937",270.1,175.8,,
2005,Lassen,91,Prevention Quality Acute Composite,121,"27,722",436.5,604,,,,,,
2006,Lassen,91,Prevention Quality Acute Composite,158,"27,919",565.9,776,,,,,,
2007,Lassen,91,Prevention Quality Acute Composite,166,"29,030",571.8,791.1,,,,,,
2008,Lassen,91,Prevention Quality Acute Composite,171,"28,658",596.7,813,,,,,,
2009,Lassen,91,Prevention Quality Acute Composite,186,"28,696",648.2,867.1,,,,,,
2010,Lassen,91,Prevention Quality Acute Composite,191,"28,485",670.5,890.8,,,,,,
2011,Lassen,91,Prevention Quality Acute Composite,159,"28,179",564.2,736.5,,,,,,
2012,Lassen,91,Prevention Quality Acute Composite,146,"29,148",500.9,663.8,,,,,,
2013,Lassen,91,Prevention Quality Acute Composite,127,"27,797",456.9,577.5,,,,,,
2014,Lassen,91,Prevention Quality Acute Composite,136,"29,236",465.2,598.7,,,,,,
2015,Lassen,91,Prevention Quality Acute Composite,98,"20,747",472.4,583.6,,,,,,
2016,Lassen,91,Acute Composite,,,,,85,"25,378",334.9,412.1,,
2017,Lassen,91,Acute Composite,,,,,86,"25,575",336.3,409,,
2018,Lassen,91,Acute Composite,,,,,86,"25,359",339.1,399,,
2019,Lassen,91,Acute Composite,,,,,81,"25,378",319.2,363.8,,
2020,Lassen,91,Acute Composite,,,,,63,"26,785",235.2,279,,
2021,Lassen,91,Acute Composite,,,,,60,"26,258",228.5,260.3,,
2022,Lassen,91,Acute Composite,,,,,66,"24,446",270,283.6,,
2023,Lassen,91,Acute Composite,,,,,66,"23,438",281.6,211.1,,
2024,Lassen,91,Acute Composite,,,,,68,"22,990",295.8,250.2,,
2005,Los Angeles,91,Prevention Quality Acute Composite,"41,582","7,202,516",577.3,694.2,,,,,,
2006,Los Angeles,91,Prevention Quality Acute Composite,"38,653","7,208,716",536.2,640.6,,,,,,
2007,Los Angeles,91,Prevention Quality Acute Composite,"39,568","7,223,112",547.8,646.3,,,,,,
2008,Los Angeles,91,Prevention Quality Acute Composite,"39,512","7,281,072",542.7,633.9,,,,,,
2009,Los Angeles,91,Prevention Quality Acute Composite,"37,987","7,353,912",516.6,597.7,,,,,,
2010,Los Angeles,91,Prevention Quality Acute Composite,"36,530","7,416,633",492.5,563.6,,,,,,
2011,Los Angeles,91,Prevention Quality Acute Composite,"36,821","7,504,083",490.7,555.6,,,,,,
2012,Los Angeles,91,Prevention Quality Acute Composite,"34,933","7,317,992",477.4,519.9,,,,,,
2013,Los Angeles,91,Prevention Quality Acute Composite,"32,327","7,410,685",436.2,470.3,,,,,,
2014,Los Angeles,91,Prevention Quality Acute Composite,"30,411","7,525,122",404.1,440.6,,,,,,
2015,Los Angeles,91,Prevention Quality Acute Composite,"23,125","5,622,301",411.3,428.9,,,,,,
2016,Los Angeles,91,Acute Composite,,,,,"20,744","7,844,956",264.4,369.5,,
2017,Los Angeles,91,Acute Composite,,,,,"16,271","7,870,676",206.7,284.9,,
2018,Los Angeles,91,Acute Composite,,,,,"15,459","7,879,584",196.2,266.6,,
2019,Los Angeles,91,Acute Composite,,,,,"15,334","7,871,889",194.8,260.5,,
2020,Los Angeles,91,Acute Composite,,,,,"10,784","7,884,705",136.8,183.7,,
2021,Los Angeles,91,Acute Composite,,,,,"9,439","7,772,371",121.4,160.2,,
2022,Los Angeles,91,Acute Composite,,,,,"11,471","7,737,357",148.3,192.7,,
2023,Los Angeles,91,Acute Composite,,,,,"13,140","7,710,575",170.4,187,,
2024,Los Angeles,91,Acute Composite,,,,,"14,822","7,812,233",189.7,219,,
2005,Madera,91,Prevention Quality Acute Composite,645,"100,047",644.7,741.7,,,,,,
2006,Madera,91,Prevention Quality Acute Composite,555,"102,344",542.3,624.2,,,,,,
2007,Madera,91,Prevention Quality Acute Composite,547,"104,227",524.8,598.9,,,,,,
2008,Madera,91,Prevention Quality Acute Composite,525,"105,909",495.7,564.3,,,,,,
2009,Madera,91,Prevention Quality Acute Composite,583,"106,674",546.5,617.1,,,,,,
2010,Madera,91,Prevention Quality Acute Composite,611,"108,385",563.7,632.6,,,,,,
2011,Madera,91,Prevention Quality Acute Composite,530,"109,902",482.2,536.9,,,,,,
2012,Madera,91,Prevention Quality Acute Composite,480,"106,934",448.9,481.5,,,,,,
2013,Madera,91,Prevention Quality Acute Composite,477,"107,252",444.7,470.5,,,,,,
2014,Madera,91,Prevention Quality Acute Composite,442,"113,845",388.2,421.8,,,,,,
2015,Madera,91,Prevention Quality Acute Composite,333,"81,407",409.1,420.2,,,,,,
2016,Madera,91,Acute Composite,,,,,280,"111,156",251.9,283.7,,
2017,Madera,91,Acute Composite,,,,,230,"112,306",204.8,228.1,,
2018,Madera,91,Acute Composite,,,,,248,"113,445",218.6,242,,
2019,Madera,91,Acute Composite,,,,,191,"113,829",167.8,182.6,,
2020,Madera,91,Acute Composite,,,,,202,"113,532",177.9,195.2,,
2021,Madera,91,Acute Composite,,,,,231,"115,760",199.6,220.6,,
2022,Madera,91,Acute Composite,,,,,231,"116,890",197.6,217.6,,
2023,Madera,91,Acute Composite,,,,,303,"118,944",254.7,205.9,,
2024,Madera,91,Acute Composite,,,,,307,"121,480",252.7,208.8,,
2005,Marin,91,Prevention Quality Acute Composite,"1,041","194,828",534.3,490.5,,,,,,
2006,Marin,91,Prevention Quality Acute Composite,912,"194,956",467.8,424.2,,,,,,
2007,Marin,91,Prevention Quality Acute Composite,892,"196,294",454.4,407.7,,,,,,
2008,Marin,91,Prevention Quality Acute Composite,933,"197,929",471.4,418.7,,,,,,
2009,Marin,91,Prevention Quality Acute Composite,854,"199,904",427.2,375.1,,,,,,
2010,Marin,91,Prevention Quality Acute Composite,821,"201,547",407.3,353.7,,,,,,
2011,Marin,91,Prevention Quality Acute Composite,647,"203,181",318.4,271.2,,,,,,
2012,Marin,91,Prevention Quality Acute Composite,635,"200,046",317.4,261.8,,,,,,
2013,Marin,91,Prevention Quality Acute Composite,568,"202,161",281,227.5,,,,,,
2014,Marin,91,Prevention Quality Acute Composite,518,"201,613",256.9,207.6,,,,,,
2015,Marin,91,Prevention Quality Acute Composite,427,"152,906",279.3,218.3,,,,,,
2016,Marin,91,Acute Composite,,,,,382,"207,330",184.2,238.8,,
2017,Marin,91,Acute Composite,,,,,364,"207,121",175.7,223.6,,
2018,Marin,91,Acute Composite,,,,,308,"207,824",148.2,184.9,,
2019,Marin,91,Acute Composite,,,,,251,"207,790",120.8,147.8,,
2020,Marin,91,Acute Composite,,,,,173,"209,991",82.4,101.2,,
2021,Marin,91,Acute Composite,,,,,163,"209,428",77.8,94,,
2022,Marin,91,Acute Composite,,,,,228,"207,716",109.8,128.6,,
2023,Marin,91,Acute Composite,,,,,232,"206,190",112.5,98.1,,
2024,Marin,91,Acute Composite,,,,,297,"208,562",142.4,127.8,,
2005,Mariposa,91,Prevention Quality Acute Composite,93,"14,466",642.9,553.2,,,,,,
2006,Mariposa,91,Prevention Quality Acute Composite,104,"14,728",706.1,613.8,,,,,,
2007,Mariposa,91,Prevention Quality Acute Composite,90,"14,903",603.9,520.9,,,,,,
2008,Mariposa,91,Prevention Quality Acute Composite,106,"14,996",706.9,598,,,,,,
2009,Mariposa,91,Prevention Quality Acute Composite,86,"14,925",576.2,478,,,,,,
2010,Mariposa,91,Prevention Quality Acute Composite,69,"15,018",459.4,378.9,,,,,,
2011,Mariposa,91,Prevention Quality Acute Composite,72,"15,034",478.9,383.6,,,,,,
2012,Mariposa,91,Prevention Quality Acute Composite,72,"16,563",434.7,368.8,,,,,,
2013,Mariposa,91,Prevention Quality Acute Composite,70,"16,491",424.5,352.6,,,,,,
2014,Mariposa,91,Prevention Quality Acute Composite,63,"16,335",385.7,313.8,,,,,,
2015,Mariposa,91,Prevention Quality Acute Composite,52,"12,911",402.8,333.3,,,,,,
2016,Mariposa,91,Acute Composite,,,,,50,"14,636",341.6,317.5,,
2017,Mariposa,91,Acute Composite,,,,,48,"14,614",328.5,298.7,,
2018,Mariposa,91,Acute Composite,,,,,44,"14,527",302.9,271.9,,
2019,Mariposa,91,Acute Composite,,,,,74,"14,338",516.1,453.3,,
2020,Mariposa,91,Acute Composite,,,,,38,"14,229",267.1,229.2,,
2021,Mariposa,91,Acute Composite,,,,,27,"14,120",191.2,161.5,,
2022,Mariposa,91,Acute Composite,,,,,36,"14,037",256.5,211.6,,
2023,Mariposa,91,Acute Composite,,,,,55,"13,883",396.2,269.2,,
2024,Mariposa,91,Acute Composite,,,,,42,"14,107",297.7,164.4,,
2005,Mendocino,91,Prevention Quality Acute Composite,367,"67,693",542.2,522.2,,,,,,
2006,Mendocino,91,Prevention Quality Acute Composite,422,"67,469",625.5,596.9,,,,,,
2007,Mendocino,91,Prevention Quality Acute Composite,390,"67,583",577.1,542.3,,,,,,
2008,Mendocino,91,Prevention Quality Acute Composite,335,"68,025",492.5,457.1,,,,,,
2009,Mendocino,91,Prevention Quality Acute Composite,391,"68,421",571.5,526.6,,,,,,
2010,Mendocino,91,Prevention Quality Acute Composite,363,"68,517",529.8,487.5,,,,,,
2011,Mendocino,91,Prevention Quality Acute Composite,422,"68,336",617.5,556.7,,,,,,
2012,Mendocino,91,Prevention Quality Acute Composite,364,"68,344",532.6,470.7,,,,,,
2013,Mendocino,91,Prevention Quality Acute Composite,334,"68,379",488.5,425.3,,,,,,
2014,Mendocino,91,Prevention Quality Acute Composite,344,"69,334",496.1,435.6,,,,,,
2015,Mendocino,91,Prevention Quality Acute Composite,200,"51,516",388.2,328.2,,,,,,
2016,Mendocino,91,Acute Composite,,,,,207,"68,410",302.6,269.3,,
2017,Mendocino,91,Acute Composite,,,,,181,"68,784",263.1,230.6,,
2018,Mendocino,91,Acute Composite,,,,,186,"68,876",270.1,232.4,,
2019,Mendocino,91,Acute Composite,,,,,205,"68,548",299.1,251.8,,
2020,Mendocino,91,Acute Composite,,,,,189,"71,994",262.5,220.8,,
2021,Mendocino,91,Acute Composite,,,,,157,"71,916",218.3,180.8,,
2022,Mendocino,91,Acute Composite,,,,,175,"71,066",246.2,198.1,,
2023,Mendocino,91,Acute Composite,,,,,155,"70,576",219.6,142.4,,
2024,Mendocino,91,Acute Composite,,,,,167,"70,848",235.7,151.3,,
2005,Merced,91,Prevention Quality Acute Composite,893,"162,795",548.5,696,,,,,,
2006,Merced,91,Prevention Quality Acute Composite,845,"165,009",512.1,651.1,,,,,,
2007,Merced,91,Prevention Quality Acute Composite,984,"167,724",586.7,737.9,,,,,,
2008,Merced,91,Prevention Quality Acute Composite,831,"169,736",489.6,609.5,,,,,,
2009,Merced,91,Prevention Quality Acute Composite,927,"171,809",539.6,663.9,,,,,,
2010,Merced,91,Prevention Quality Acute Composite,943,"175,232",538.1,655.3,,,,,,
2011,Merced,91,Prevention Quality Acute Composite,904,"178,783",505.6,610.2,,,,,,
2012,Merced,91,Prevention Quality Acute Composite,834,"174,274",478.6,555.8,,,,,,
2013,Merced,91,Prevention Quality Acute Composite,807,"176,084",458.3,527.3,,,,,,
2014,Merced,91,Prevention Quality Acute Composite,754,"184,892",407.8,483.1,,,,,,
2015,Merced,91,Prevention Quality Acute Composite,775,"133,727",579.5,644.7,,,,,,
2016,Merced,91,Acute Composite,,,,,767,"187,379",409.3,497.8,,
2017,Merced,91,Acute Composite,,,,,625,"190,075",328.8,399.3,,
2018,Merced,91,Acute Composite,,,,,718,"193,011",372,450.8,,
2019,Merced,91,Acute Composite,,,,,538,"196,051",274.4,330.3,,
2020,Merced,91,Acute Composite,,,,,427,"199,655",213.9,258.7,,
2021,Merced,91,Acute Composite,,,,,392,"201,787",194.3,233.5,,
2022,Merced,91,Acute Composite,,,,,466,"207,099",225,272.7,,
2023,Merced,91,Acute Composite,,,,,494,"209,020",236.3,214.3,,
2024,Merced,91,Acute Composite,,,,,473,"214,218",220.8,206.2,,
2005,Modoc,91,Prevention Quality Acute Composite,38,"7,408",513,436.3,,,,,,
2006,Modoc,91,Prevention Quality Acute Composite,37,"7,461",495.9,425.9,,,,,,
2007,Modoc,91,Prevention Quality Acute Composite,47,"7,429",632.7,527.1,,,,,,
2008,Modoc,91,Prevention Quality Acute Composite,42,"7,469",562.3,471.1,,,,,,
2009,Modoc,91,Prevention Quality Acute Composite,48,"7,565",634.5,525.3,,,,,,
2010,Modoc,91,Prevention Quality Acute Composite,44,"7,599",579,476.6,,,,,,
2011,Modoc,91,Prevention Quality Acute Composite,51,"7,517",678.5,539.6,,,,,,
2012,Modoc,91,Prevention Quality Acute Composite,46,"9,249",497.4,475.1,,,,,,
2013,Modoc,91,Prevention Quality Acute Composite,59,"9,141",645.4,606.8,,,,,,
2014,Modoc,91,Prevention Quality Acute Composite,35,"8,570",408.4,357,,,,,,
2015,Modoc,91,Prevention Quality Acute Composite,33,"7,417",444.9,439.7,,,,,,
2016,Modoc,91,Acute Composite,,,,,33,"7,172",460.1,287.3,,
2017,Modoc,91,Acute Composite,,,,,31,"7,115",435.7,265.8,,
2018,Modoc,91,Acute Composite,,,,,29,"7,066",410.4,245.5,,
2019,Modoc,91,Acute Composite,,,,,38,"7,114",534.2,313.8,,
2020,Modoc,91,Acute Composite,,,,,26,"6,998",371.5,214.5,,
2021,Modoc,91,Acute Composite,,,,,28,"7,005",399.7,223.8,,
2022,Modoc,91,Acute Composite,,,,,28,"6,957",402.5,220,,
2023,Modoc,91,Acute Composite,,,,,44,"6,906",637.1,309.5,,
2024,Modoc,91,Acute Composite,,,,,45,"6,922",650.1,458.6,,
2005,Mono,91,Prevention Quality Acute Composite,17,"10,514",161.7,260.3,,,,,,
2006,Mono,91,Prevention Quality Acute Composite,7,"10,747",65.1,100.6,,,,,,
2007,Mono,91,Prevention Quality Acute Composite,16,"10,719",149.3,223.8,,,,,,
2008,Mono,91,Prevention Quality Acute Composite,10,"10,892",91.8,133.2,,,,,,
2009,Mono,91,Prevention Quality Acute Composite,15,"11,055",135.7,193.3,,,,,,
2010,Mono,91,Prevention Quality Acute Composite,15,"11,224",133.6,186.6,,,,,,
2011,Mono,91,Prevention Quality Acute Composite,11,"11,294",97.4,130.9,,,,,,
2012,Mono,91,Prevention Quality Acute Composite,9,"13,186",68.3,98.8,,,,,,
2013,Mono,91,Prevention Quality Acute Composite,11,"12,990",84.7,117.2,,,,,,
2014,Mono,91,Prevention Quality Acute Composite,16,"12,503",128,174.3,,,,,,
2015,Mono,91,Prevention Quality Acute Composite,13,"10,444",124.5,170.9,,,,,,
2016,Mono,91,Acute Composite,,,,,15,"11,591",129.4,211.7,,
2017,Mono,91,Acute Composite,,,,,9,"11,686",77,122.3,,
2018,Mono,91,Acute Composite,,,,,11,"11,760",93.5,144.2,,
2019,Mono,91,Acute Composite,,,,,11,"11,882",92.6,138.3,,
2020,Mono,91,Acute Composite,,,,,14,"10,909",128.3,191,,
2021,Mono,91,Acute Composite,,,,,8,"10,984",72.8,105.4,,
2022,Mono,91,Acute Composite,,,,,5,"10,782",46.4,65,,
2023,Mono,91,Acute Composite,,,,,12,"10,809",111,140.3,,
2024,Mono,91,Acute Composite,,,,,10,"10,725",93.2,105.7,,
2005,Monterey,91,Prevention Quality Acute Composite,"1,462","294,634",496.2,581.7,,,,,,
2006,Monterey,91,Prevention Quality Acute Composite,"1,344","292,832",459,534.5,,,,,,
2007,Monterey,91,Prevention Quality Acute Composite,"1,363","293,684",464.1,533.7,,,,,,
2008,Monterey,91,Prevention Quality Acute Composite,"1,290","296,155",435.6,496.8,,,,,,
2009,Monterey,91,Prevention Quality Acute Composite,"1,269","299,502",423.7,478.9,,,,,,
2010,Monterey,91,Prevention Quality Acute Composite,"1,221","304,351",401.2,450.3,,,,,,
2011,Monterey,91,Prevention Quality Acute Composite,"1,285","308,056",417.1,465.1,,,,,,
2012,Monterey,91,Prevention Quality Acute Composite,"1,171","301,958",387.8,418.4,,,,,,
2013,Monterey,91,Prevention Quality Acute Composite,"1,105","304,287",363.1,386.2,,,,,,
2014,Monterey,91,Prevention Quality Acute Composite,942,"305,907",307.9,329.2,,,,,,
2015,Monterey,91,Prevention Quality Acute Composite,816,"229,305",355.9,365.8,,,,,,
2016,Monterey,91,Acute Composite,,,,,773,"318,887",242.4,326.4,,
2017,Monterey,91,Acute Composite,,,,,732,"319,394",229.2,304.2,,
2018,Monterey,91,Acute Composite,,,,,783,"319,764",244.9,319.9,,
2019,Monterey,91,Acute Composite,,,,,818,"320,591",255.2,328.7,,
2020,Monterey,91,Acute Composite,,,,,585,"324,926",180,231.8,,
2021,Monterey,91,Acute Composite,,,,,470,"325,443",144.4,184.1,,
2022,Monterey,91,Acute Composite,,,,,606,"322,881",187.7,234,,
2023,Monterey,91,Acute Composite,,,,,752,"321,055",234.2,238.2,,
2024,Monterey,91,Acute Composite,,,,,838,"326,450",256.7,274.8,,
2005,Napa,91,Prevention Quality Acute Composite,624,"99,628",626.3,564.9,,,,,,
2006,Napa,91,Prevention Quality Acute Composite,598,"100,569",594.6,535.3,,,,,,
2007,Napa,91,Prevention Quality Acute Composite,668,"101,701",656.8,589.5,,,,,,
2008,Napa,91,Prevention Quality Acute Composite,600,"102,958",582.8,521.3,,,,,,
2009,Napa,91,Prevention Quality Acute Composite,645,"103,909",620.7,558.3,,,,,,
2010,Napa,91,Prevention Quality Acute Composite,568,"105,302",539.4,486.3,,,,,,
2011,Napa,91,Prevention Quality Acute Composite,516,"106,488",484.6,435.4,,,,,,
2012,Napa,91,Prevention Quality Acute Composite,469,"106,095",442.1,390.2,,,,,,
2013,Napa,91,Prevention Quality Acute Composite,420,"107,433",390.9,343.6,,,,,,
2014,Napa,91,Prevention Quality Acute Composite,370,"108,610",340.7,303.1,,,,,,
2015,Napa,91,Prevention Quality Acute Composite,246,"82,361",298.7,259.4,,,,,,
2016,Napa,91,Acute Composite,,,,,243,"110,813",219.3,284.9,,
2017,Napa,91,Acute Composite,,,,,169,"110,539",152.9,196.1,,
2018,Napa,91,Acute Composite,,,,,178,"110,023",161.8,205.1,,
2019,Napa,91,Acute Composite,,,,,161,"109,823",146.6,182.8,,
2020,Napa,91,Acute Composite,,,,,106,"110,025",96.3,117.8,,
2021,Napa,91,Acute Composite,,,,,107,"109,635",97.6,118.3,,
2022,Napa,91,Acute Composite,,,,,135,"108,501",124.4,147.2,,
2023,Napa,91,Acute Composite,,,,,139,"107,838",128.9,124.2,,
2024,Napa,91,Acute Composite,,,,,172,"108,121",159.1,157.6,,
2005,Nevada,91,Prevention Quality Acute Composite,571,"77,111",740.5,622.8,,,,,,
2006,Nevada,91,Prevention Quality Acute Composite,537,"77,728",690.9,572.2,,,,,,
2007,Nevada,91,Prevention Quality Acute Composite,568,"78,179",726.5,593.7,,,,,,
2008,Nevada,91,Prevention Quality Acute Composite,501,"78,803",635.8,515.4,,,,,,
2009,Nevada,91,Prevention Quality Acute Composite,374,"79,505",470.4,379.4,,,,,,
2010,Nevada,91,Prevention Quality Acute Composite,383,"80,097",478.2,382,,,,,,
2011,Nevada,91,Prevention Quality Acute Composite,404,"80,389",502.6,393.3,,,,,,
2012,Nevada,91,Prevention Quality Acute Composite,423,"80,329",526.6,404.2,,,,,,
2013,Nevada,91,Prevention Quality Acute Composite,437,"80,699",541.5,410,,,,,,
2014,Nevada,91,Prevention Quality Acute Composite,373,"82,513",452,344.6,,,,,,
2015,Nevada,91,Prevention Quality Acute Composite,310,"61,125",507.2,372.1,,,,,,
2016,Nevada,91,Acute Composite,,,,,229,"81,656",280.4,291.6,,
2017,Nevada,91,Acute Composite,,,,,158,"82,237",192.1,196.9,,
2018,Nevada,91,Acute Composite,,,,,197,"82,386",239.1,240.5,,
2019,Nevada,91,Acute Composite,,,,,159,"82,691",192.3,190,,
2020,Nevada,91,Acute Composite,,,,,170,"84,957",200.1,195.1,,
2021,Nevada,91,Acute Composite,,,,,139,"86,140",161.4,157.1,,
2022,Nevada,91,Acute Composite,,,,,125,"85,163",146.8,139.8,,
2023,Nevada,91,Acute Composite,,,,,154,"84,878",181.4,122.6,,
2024,Nevada,91,Acute Composite,,,,,179,"85,129",210.3,161.9,,
2005,Orange,91,Prevention Quality Acute Composite,"10,662","2,180,617",488.9,568.7,,,,,,
2006,Orange,91,Prevention Quality Acute Composite,"10,144","2,185,121",464.2,533.7,,,,,,
2007,Orange,91,Prevention Quality Acute Composite,"10,852","2,194,736",494.5,559.4,,,,,,
2008,Orange,91,Prevention Quality Acute Composite,"10,723","2,219,901",483,540.8,,,,,,
2009,Orange,91,Prevention Quality Acute Composite,"9,836","2,249,030",437.3,484.5,,,,,,
2010,Orange,91,Prevention Quality Acute Composite,"9,469","2,279,215",415.5,455.6,,,,,,
2011,Orange,91,Prevention Quality Acute Composite,"9,240","2,319,605",398.3,431.6,,,,,,
2012,Orange,91,Prevention Quality Acute Composite,"8,693","2,270,432",382.9,398.6,,,,,,
2013,Orange,91,Prevention Quality Acute Composite,"8,249","2,303,808",358.1,368.3,,,,,,
2014,Orange,91,Prevention Quality Acute Composite,"7,290","2,330,275",312.8,323.8,,,,,,
2015,Orange,91,Prevention Quality Acute Composite,"5,552","1,754,644",316.4,314,,,,,,
2016,Orange,91,Acute Composite,,,,,"4,917","2,451,869",200.5,292.7,,
2017,Orange,91,Acute Composite,,,,,"3,991","2,467,473",161.7,232.4,,
2018,Orange,91,Acute Composite,,,,,"4,171","2,477,165",168.4,237.7,,
2019,Orange,91,Acute Composite,,,,,"3,823","2,481,860",154,213.6,,
2020,Orange,91,Acute Composite,,,,,"2,808","2,500,521",112.3,156.8,,
2021,Orange,91,Acute Composite,,,,,"2,447","2,492,420",98.2,135.1,,
2022,Orange,91,Acute Composite,,,,,"2,909","2,496,667",116.5,157.3,,
2023,Orange,91,Acute Composite,,,,,"3,714","2,489,875",149.2,183.9,,
2024,Orange,91,Acute Composite,,,,,"4,050","2,527,530",160.2,175.1,,
2005,Placer,91,Prevention Quality Acute Composite,"1,172","233,967",500.9,496.6,,,,,,
2006,Placer,91,Prevention Quality Acute Composite,"1,213","241,760",501.7,486.6,,,,,,
2007,Placer,91,Prevention Quality Acute Composite,"1,265","247,749",510.6,489.6,,,,,,
2008,Placer,91,Prevention Quality Acute Composite,"1,091","254,728",428.3,404.4,,,,,,
2009,Placer,91,Prevention Quality Acute Composite,"1,059","260,230",406.9,378.4,,,,,,
2010,Placer,91,Prevention Quality Acute Composite,951,"265,780",357.8,328.6,,,,,,
2011,Placer,91,Prevention Quality Acute Composite,933,"272,624",342.2,309.6,,,,,,
2012,Placer,91,Prevention Quality Acute Composite,878,"269,220",326.1,283.4,,,,,,
2013,Placer,91,Prevention Quality Acute Composite,877,"275,142",318.7,272.5,,,,,,
2014,Placer,91,Prevention Quality Acute Composite,807,"291,385",277,241.7,,,,,,
2015,Placer,91,Prevention Quality Acute Composite,716,"211,518",338.5,278.2,,,,,,
2016,Placer,91,Acute Composite,,,,,627,"293,620",213.5,298.4,,
2017,Placer,91,Acute Composite,,,,,405,"299,061",135.4,187.1,,
2018,Placer,91,Acute Composite,,,,,365,"305,287",119.6,163.2,,
2019,Placer,91,Acute Composite,,,,,398,"310,947",128,172.3,,
2020,Placer,91,Acute Composite,,,,,365,"316,575",115.3,155.2,,
2021,Placer,91,Acute Composite,,,,,320,"323,151",99,133.2,,
2022,Placer,91,Acute Composite,,,,,393,"327,593",120,158.4,,
2023,Placer,91,Acute Composite,,,,,545,"332,465",163.9,173,,
2024,Placer,91,Acute Composite,,,,,653,"341,342",191.3,196.7,,
2005,Plumas,91,Prevention Quality Acute Composite,181,"16,762","1,079.80",947.4,,,,,,
2006,Plumas,91,Prevention Quality Acute Composite,147,"16,591",886,772.7,,,,,,
2007,Plumas,91,Prevention Quality Acute Composite,141,"16,601",849.3,728.9,,,,,,
2008,Plumas,91,Prevention Quality Acute Composite,128,"16,521",774.8,648.8,,,,,,
2009,Plumas,91,Prevention Quality Acute Composite,146,"16,385",891.1,740.6,,,,,,
2010,Plumas,91,Prevention Quality Acute Composite,130,"16,311",797,652.8,,,,,,
2011,Plumas,91,Prevention Quality Acute Composite,153,"16,240",942.1,757,,,,,,
2012,Plumas,91,Prevention Quality Acute Composite,106,"17,560",603.6,517.6,,,,,,
2013,Plumas,91,Prevention Quality Acute Composite,109,"17,229",632.7,533.7,,,,,,
2014,Plumas,91,Prevention Quality Acute Composite,128,"16,981",753.8,619.5,,,,,,
2015,Plumas,91,Prevention Quality Acute Composite,82,"13,236",619.5,523.6,,,,,,
2016,Plumas,91,Acute Composite,,,,,116,"15,495",748.6,706.3,,
2017,Plumas,91,Acute Composite,,,,,74,"15,483",477.9,442.5,,
2018,Plumas,91,Acute Composite,,,,,84,"15,597",538.6,488.2,,
2019,Plumas,91,Acute Composite,,,,,71,"15,757",450.6,398.7,,
2020,Plumas,91,Acute Composite,,,,,59,"16,254",363,323.8,,
2021,Plumas,91,Acute Composite,,,,,49,"16,481",297.3,261.8,,
2022,Plumas,91,Acute Composite,,,,,42,"16,081",261.2,221,,
2023,Plumas,91,Acute Composite,,,,,67,"15,898",421.4,278,,
2024,Plumas,91,Acute Composite,,,,,47,"15,717",299,187.1,,
2005,Riverside,91,Prevention Quality Acute Composite,"8,231","1,365,225",602.9,662.8,,,,,,
2006,Riverside,91,Prevention Quality Acute Composite,"7,804","1,423,074",548.4,606,,,,,,
2007,Riverside,91,Prevention Quality Acute Composite,"7,957","1,468,741",541.8,598,,,,,,
2008,Riverside,91,Prevention Quality Acute Composite,"7,630","1,497,677",509.5,557.5,,,,,,
2009,Riverside,91,Prevention Quality Acute Composite,"7,419","1,532,584",484.1,525.1,,,,,,
2010,Riverside,91,Prevention Quality Acute Composite,"7,239","1,579,716",458.2,495.3,,,,,,
2011,Riverside,91,Prevention Quality Acute Composite,"7,107","1,618,245",439.2,471.9,,,,,,
2012,Riverside,91,Prevention Quality Acute Composite,"7,033","1,578,971",445.4,457.7,,,,,,
2013,Riverside,91,Prevention Quality Acute Composite,"7,242","1,608,253",450.3,457.3,,,,,,
2014,Riverside,91,Prevention Quality Acute Composite,"6,748","1,723,126",391.6,414.5,,,,,,
2015,Riverside,91,Prevention Quality Acute Composite,"5,327","1,235,866",431,423.9,,,,,,
2016,Riverside,91,Acute Composite,,,,,"4,584","1,764,865",259.7,339,,
2017,Riverside,91,Acute Composite,,,,,"3,804","1,797,423",211.6,272.9,,
2018,Riverside,91,Acute Composite,,,,,"3,999","1,827,877",218.8,278.9,,
2019,Riverside,91,Acute Composite,,,,,"4,167","1,852,582",224.9,282.8,,
2020,Riverside,91,Acute Composite,,,,,"3,175","1,826,892",173.8,219.7,,
2021,Riverside,91,Acute Composite,,,,,"2,608","1,856,272",140.5,177.6,,
2022,Riverside,91,Acute Composite,,,,,"3,149","1,880,349",167.5,210,,
2023,Riverside,91,Acute Composite,,,,,"3,648","1,899,181",192.1,195.1,,
2024,Riverside,91,Acute Composite,,,,,"3,957","1,938,337",204.1,239.6,,
2005,Sacramento,91,Prevention Quality Acute Composite,"5,433","1,001,691",542.4,620.7,,,,,,
2006,Sacramento,91,Prevention Quality Acute Composite,"5,275","1,010,429",522.1,594.2,,,,,,
