Month of Eligibility,County,Health Delivery System,Health Plan,Total Eligibles,Annotation Code,Annotation Description,Status,Date of Data
2014-12,San Diego,Managed Care,Blue Shield of California Promise/San Diego,"63,861",,,F,
2014-12,San Diego,Managed Care,Community Health Group (CMC)/San Diego,"3,671",,,F,
2014-12,San Diego,Managed Care,Community Health Group/San Diego,"230,534",,,F,
2014-12,San Diego,Managed Care,Health Net Community Solutions (CMC)/San Diego,"2,550",,,F,
2014-12,San Diego,Managed Care,Health Net Community Solutions/San Diego,"60,757",,,F,
2014-12,San Diego,Managed Care,Kaiser Permanente/San Diego,"40,495",,,F,
2014-12,San Diego,Managed Care,Molina Healthcare of California (CMC)/San Diego,"2,889",,,F,
2014-12,San Diego,Managed Care,Molina Healthcare of California/San Diego,"164,177",,,F,
2014-12,San Diego,Managed Care,Out of County Plan,"2,395",,,F,
2014-12,San Diego,Managed Care,St. Paul's PACE/San Diego,419,,,F,
2014-12,San Francisco,Fee-for-Service,Fee-for-Service,"73,845",,,F,
2014-12,San Francisco,Managed Care,Anthem Blue Cross/San Francisco,"22,069",,,F,
2014-12,San Francisco,Managed Care,ONLOK Senior Health Services/San Francisco,939,,,F,
2014-12,San Francisco,Managed Care,Out of County Plan,"2,233",,,F,
2014-12,San Francisco,Managed Care,San Francisco Health Plan/San Francisco,"118,295",,,F,
2014-12,San Joaquin,Fee-for-Service,Fee-for-Service,"63,581",,,F,
2014-12,San Joaquin,Managed Care,Health Net Community Solutions/San Joaquin,"21,355",,,F,
2014-12,San Joaquin,Managed Care,Health Plan of San Joaquin/San Joaquin,"187,390",,,F,
2014-12,San Joaquin,Managed Care,Health Plan of San Joaquin/Stanislaus,66,,,F,
2014-12,San Joaquin,Managed Care,Out of County Plan,"1,043",,,F,
2014-12,San Luis Obispo,Fee-for-Service,Fee-for-Service,"8,784",,,F,
2014-12,San Luis Obispo,Managed Care,CenCal Health/San Luis Obispo,"47,664",,,F,
2014-12,San Luis Obispo,Managed Care,Out of County Plan,514,,,F,
2014-12,San Mateo,Fee-for-Service,Fee-for-Service,"32,407",,,F,
2014-12,San Mateo,Managed Care,Health Plan of San Mateo (CMC)/San Mateo,"2,659",,,F,
2014-12,San Mateo,Managed Care,Health Plan of San Mateo/San Mateo,"107,579",,,F,
2014-12,San Mateo,Managed Care,Out of County Plan,"1,158",,,F,
2014-12,Santa Barbara,Fee-for-Service,Fee-for-Service,"24,770",,,F,
2014-12,Santa Barbara,Managed Care,CenCal Health/Santa Barbara,"100,417",,,F,
2014-12,Santa Barbara,Managed Care,Out of County Plan,853,,,F,
2014-12,Santa Clara,Fee-for-Service,Fee-for-Service,"129,071",,,F,
2014-12,Santa Clara,Managed Care,Anthem Blue Cross/Santa Clara,"58,226",,,F,
2014-12,Santa Clara,Managed Care,ONLOK Lifeways/Santa Clara,190,,,F,
2014-12,Santa Clara,Managed Care,Out of County Plan,"2,134",,,F,
2014-12,Santa Clara,Managed Care,Santa Clara Family Health Plan/Santa Clara,"216,676",,,F,
2014-12,Santa Cruz,Fee-for-Service,Fee-for-Service,"10,798",,,F,
2014-12,Santa Cruz,Managed Care,Central California Alliance for Health/Santa Cruz,"60,274",,,F,
2014-12,Santa Cruz,Managed Care,Out of County Plan,945,,,F,
2014-12,Shasta,Fee-for-Service,Fee-for-Service,"4,988",,,F,
2014-12,Shasta,Managed Care,Out of County Plan,518,,,F,
2014-12,Shasta,Managed Care,Partnership Health Plan of California/Shasta,"56,435",,,F,
2014-12,Sierra,Fee-for-Service,Fee-for-Service,244,,,F,
2014-12,Sierra,Managed Care,Anthem Blue Cross Partnership Plan/Sierra,304,,,F,
2014-12,Sierra,Managed Care,California Health and Wellness Plan/Sierra,213,,,F,
2014-12,Sierra,Managed Care,Out of County Plan,12,,,F,
2014-12,Siskiyou,Fee-for-Service,Fee-for-Service,"1,392",,,F,
2014-12,Siskiyou,Managed Care,Out of County Plan,237,,,F,
2014-12,Siskiyou,Managed Care,Partnership Health Plan of California/Siskiyou,"14,816",,,F,
2014-12,Solano,Fee-for-Service,Fee-for-Service,"12,220",,,F,
2014-12,Solano,Managed Care,Out of County Plan,"1,312",,,F,
2014-12,Solano,Managed Care,Partnership Health Plan of California/Solano,"98,107",,,F,
2014-12,Sonoma,Fee-for-Service,Fee-for-Service,"16,947",,,F,
2014-12,Sonoma,Managed Care,Out of County Plan,864,,,F,
2014-12,Sonoma,Managed Care,Partnership Health Plan of California/Sonoma,"99,125",,,F,
2014-12,Stanislaus,Fee-for-Service,Fee-for-Service,"49,728",,,F,
2014-12,Stanislaus,Managed Care,Health Net Community Solutions/Stanislaus,"72,697",,,F,
2014-12,Stanislaus,Managed Care,Health Plan of San Joaquin/Stanislaus,"91,840",,,F,
2014-12,Stanislaus,Managed Care,Out of County Plan,"1,470",,,F,
2014-12,Sutter,Fee-for-Service,Fee-for-Service,"10,108",,,F,
2014-12,Sutter,Managed Care,Anthem Blue Cross Partnership Plan/Sutter,"16,936",,,F,
2014-12,Sutter,Managed Care,California Health and Wellness Plan/Sutter,"10,709",,,F,
2014-12,Sutter,Managed Care,Out of County Plan,278,,,F,
2014-12,Tehama,Fee-for-Service,Fee-for-Service,"7,171",,,F,
2014-12,Tehama,Managed Care,Anthem Blue Cross Partnership Plan/Tehama,"8,643",,,F,
2014-12,Tehama,Managed Care,California Health and Wellness Plan/Tehama,"9,508",,,F,
2014-12,Tehama,Managed Care,Out of County Plan,480,,,F,
2014-12,Trinity,Fee-for-Service,Fee-for-Service,394,,,F,
2014-12,Trinity,Managed Care,Out of County Plan,158,,,F,
2014-12,Trinity,Managed Care,Partnership Health Plan of California/Trinity,"4,094",,,F,
2014-12,Tulare,Fee-for-Service,Fee-for-Service,"57,098",,,F,
2014-12,Tulare,Managed Care,Anthem Blue Cross/Tulare,"83,392",,,F,
2014-12,Tulare,Managed Care,Health Net Community Solutions/Tulare,"92,148",,,F,
2014-12,Tulare,Managed Care,Out of County Plan,"1,027",,,F,
2014-12,Tuolumne,Fee-for-Service,Fee-for-Service,"3,566",,,F,
2014-12,Tuolumne,Managed Care,Anthem Blue Cross Partnership Plan/Tuolumne,"4,112",,,F,
2014-12,Tuolumne,Managed Care,California Health and Wellness Plan/Tuolumne,"5,801",,,F,
2014-12,Tuolumne,Managed Care,Out of County Plan,140,,,F,
2014-12,Ventura,Fee-for-Service,Fee-for-Service,"36,402",,,F,
2014-12,Ventura,Managed Care,Gold Coast Health Plan/Ventura,"173,395",,,F,
2014-12,Ventura,Managed Care,Out of County Plan,"1,029",,,F,
2014-12,Yolo,Fee-for-Service,Fee-for-Service,"6,997",,,F,
2014-12,Yolo,Managed Care,Out of County Plan,559,,,F,
2014-12,Yolo,Managed Care,Partnership Health Plan of California/Yolo,"45,027",,,F,
2014-12,Yuba,Fee-for-Service,Fee-for-Service,"8,126",,,F,
2014-12,Yuba,Managed Care,Anthem Blue Cross Partnership Plan/Yuba,"12,139",,,F,
2014-12,Yuba,Managed Care,California Health and Wellness Plan/Yuba,"8,583",,,F,
2014-12,Yuba,Managed Care,Out of County Plan,257,,,F,
2014-11,Alameda,Fee-for-Service,Fee-for-Service,"113,233",,,F,
2014-11,Alameda,Managed Care,Alameda Alliance for Health/Alameda,"223,222",,,F,
2014-11,Alameda,Managed Care,Anthem Blue Cross Partnership Plan/Alameda,"59,025",,,F,
2014-11,Alameda,Managed Care,Center for Elders Independence/Alameda,566,,,F,
2014-11,Alameda,Managed Care,ONLOK Senior Health Services/Alameda,177,,,F,
2014-11,Alameda,Managed Care,Out of County Plan,"3,282",,,F,
2014-11,Alpine,Fee-for-Service,Fee-for-Service,125,,,F,
2014-11,Alpine,Managed Care,Anthem Blue Cross Partnership Plan/Alpine,124,,,F,
2014-11,Alpine,Managed Care,California Health and Wellness Plan/Alpine,114,,,F,
2014-11,Alpine,Managed Care,Out of County Plan,7,,,F,
2014-11,Amador,Fee-for-Service,Fee-for-Service,"2,165",,,F,
2014-11,Amador,Managed Care,Anthem Blue Cross Partnership Plan/Amador,"4,000",,,F,
2014-11,Amador,Managed Care,California Health and Wellness Plan/Amador,"1,116",,,F,
2014-11,Amador,Managed Care,Kaiser Permanente/Amador,44,,,F,
2014-11,Amador,Managed Care,Out of County Plan,65,,,F,
2014-11,Butte,Fee-for-Service,Fee-for-Service,"25,897",,,F,
2014-11,Butte,Managed Care,Anthem Blue Cross Partnership Plan/Butte,"22,788",,,F,
2014-11,Butte,Managed Care,California Health and Wellness Plan/Butte,"27,293",,,F,
2014-11,Butte,Managed Care,Out of County Plan,493,,,F,
2014-11,Calaveras,Fee-for-Service,Fee-for-Service,"3,341",,,F,
2014-11,Calaveras,Managed Care,Anthem Blue Cross/Calaveras,"2,600",,,F,
2014-11,Calaveras,Managed Care,California Health and Wellness Plan/Calaveras,"5,029",,,F,
2014-11,Calaveras,Managed Care,Out of County Plan,123,,,F,
2014-11,Colusa,Fee-for-Service,Fee-for-Service,"2,569",,,F,
2014-11,Colusa,Managed Care,Anthem Blue Cross Partnership Plan/Colusa,"3,387",,,F,
2014-11,Colusa,Managed Care,California Health and Wellness Plan/Colusa,"1,991",,,F,
2014-11,Colusa,Managed Care,Out of County Plan,89,,,F,
2014-11,Contra Costa,Fee-for-Service,Fee-for-Service,"73,583",,,F,
2014-11,Contra Costa,Managed Care,Anthem Blue Cross/Contra Costa,"22,886",,,F,
2014-11,Contra Costa,Managed Care,Center for Elders Independence/Contra Costa,48,,,F,
2014-11,Contra Costa,Managed Care,Contra Costa Health Plan/Contra Costa,"145,819",,,F,
2014-11,Contra Costa,Managed Care,Out of County Plan,"2,408",,,F,
2014-11,Del Norte,Fee-for-Service,Fee-for-Service,755,,,F,
2014-11,Del Norte,Managed Care,Out of County Plan,62,,,F,
2014-11,Del Norte,Managed Care,Partnership Health Plan of California/Del Norte,"10,170",,,F,
2014-11,El Dorado,Fee-for-Service,Fee-for-Service,"11,387",,,F,
2014-11,El Dorado,Managed Care,Anthem Blue Cross Partnership Plan/El Dorado,"7,614",,,F,
2014-11,El Dorado,Managed Care,California Health and Wellness Plan/El Dorado,"14,269",,,F,
2014-11,El Dorado,Managed Care,Kaiser Permanente/El Dorado,859,,,F,
2014-11,El Dorado,Managed Care,Out of County Plan,339,,,F,
2014-11,Fresno,Fee-for-Service,Fee-for-Service,"98,897",,,F,
2014-11,Fresno,Managed Care,Anthem Blue Cross Partnership Plan/Fresno,"95,054",,,F,
2014-11,Fresno,Managed Care,CalViva Health/Fresno,"243,589",,,F,
2014-11,Fresno,Managed Care,Central Valley Medical Service Corp/Fresno,48,,,F,
2014-11,Fresno,Managed Care,Out of County Plan,"1,620",,,F,
2014-11,Glenn,Fee-for-Service,Fee-for-Service,"3,810",,,F,
2014-11,Glenn,Managed Care,Anthem Blue Cross Partnership Plan/Glenn,"3,240",,,F,
2014-11,Glenn,Managed Care,California Health and Wellness Plan/Glenn,"3,938",,,F,
2014-11,Glenn,Managed Care,Out of County Plan,88,,,F,
2014-11,Humboldt,Fee-for-Service,Fee-for-Service,"4,281",,,F,
2014-11,Humboldt,Managed Care,"Humboldt Senior Resource Center, Inc./Humboldt",14,,,F,
2014-11,Humboldt,Managed Care,Out of County Plan,324,,,F,
2014-11,Humboldt,Managed Care,Partnership Health Plan of California/Humboldt,"41,396",,,F,
2014-11,Imperial,Fee-for-Service,Fee-for-Service,"26,341",,,F,
2014-11,Imperial,Managed Care,California Health and Wellness Plan/Imperial,"43,617",,,F,
2014-11,Imperial,Managed Care,Molina Healthcare of California/Imperial,"13,698",,,F,
2014-11,Imperial,Managed Care,Out of County Plan,356,,,F,
2014-11,Inyo,Fee-for-Service,Fee-for-Service,"1,925",,,F,
2014-11,Inyo,Managed Care,Anthem Blue Cross Partnership Plan/Inyo,"1,646",,,F,
2014-11,Inyo,Managed Care,California Health and Wellness Plan/Inyo,"1,725",,,F,
2014-11,Inyo,Managed Care,Out of County Plan,20,,,F,
2014-11,Kern,Fee-for-Service,Fee-for-Service,"93,809",,,F,
2014-11,Kern,Managed Care,Health Net Community Solutions/Kern,"69,876",,,F,
2014-11,Kern,Managed Care,Kern Health Systems/Kern,"184,017",,,F,
2014-11,Kern,Managed Care,Out of County Plan,"2,086",,,F,
2014-11,Kings,Fee-for-Service,Fee-for-Service,"12,334",,,F,
2014-11,Kings,Managed Care,Anthem Blue Cross Partnership Plan/Kings,"16,830",,,F,
2014-11,Kings,Managed Care,CalViva Health/Kings,"22,136",,,F,
2014-11,Kings,Managed Care,Out of County Plan,385,,,F,
2014-11,Lake,Fee-for-Service,Fee-for-Service,"2,654",,,F,
2014-11,Lake,Managed Care,Out of County Plan,339,,,F,
2014-11,Lake,Managed Care,Partnership Health Plan of California/Lake,"24,597",,,F,
2014-11,Lassen,Fee-for-Service,Fee-for-Service,677,,,F,
2014-11,Lassen,Managed Care,Out of County Plan,88,,,F,
2014-11,Lassen,Managed Care,Partnership Health Plan of California/Lassen,"6,294",,,F,
2014-11,Los Angeles,Fee-for-Service,Fee-for-Service,"1,159,522",,,F,
2014-11,Los Angeles,Managed Care,AltaMed Health Sr. Buena Care/Los Angeles,"1,634",,,F,
2014-11,Los Angeles,Managed Care,Anthem Blue Cross (CMC)/Los Angeles,"3,349",,,F,
2014-11,Los Angeles,Managed Care,Blue Shield of California Promise (CMC)/Los Angeles,"3,341",,,F,
2014-11,Los Angeles,Managed Care,Brandman Centers for Senior Care/Los Angeles,97,,,F,
2014-11,Los Angeles,Managed Care,Health Net Community Solutions (CMC)/Los Angeles,"10,586",,,F,
2014-11,Los Angeles,Managed Care,Health Net Community Solutions/Los Angeles,"855,267",,,F,
2014-11,Los Angeles,Managed Care,L.A. Care Health Plan (CMC)/Los Angeles,"3,962",,,F,
2014-11,Los Angeles,Managed Care,L.A. Care Health Plan/Los Angeles,"1,599,567",,,F,
2014-11,Los Angeles,Managed Care,Molina Healthcare of California (CMC)/Los Angeles,"3,086",,,F,
2014-11,Los Angeles,Managed Care,Out of County Plan,"16,088",,,F,
2014-11,Los Angeles,Managed Care,SCAN Health Plan/Los Angeles,"6,282",,,F,
2014-11,Madera,Fee-for-Service,Fee-for-Service,"17,328",,,F,
2014-11,Madera,Managed Care,Anthem Blue Cross Partnership Plan/Madera,"17,489",,,F,
2014-11,Madera,Managed Care,CalViva Health/Madera,"30,189",,,F,
2014-11,Madera,Managed Care,Out of County Plan,472,,,F,
2014-11,Marin,Fee-for-Service,Fee-for-Service,"7,455",,,F,
2014-11,Marin,Managed Care,Out of County Plan,520,,,F,
2014-11,Marin,Managed Care,Partnership Health Plan of California/Marin,"31,765",,,F,
2014-11,Mariposa,Fee-for-Service,Fee-for-Service,"1,314",,,F,
2014-11,Mariposa,Managed Care,Anthem Blue Cross Partnership Plan/Mariposa,"2,139",,,F,
2014-11,Mariposa,Managed Care,California Health and Wellness Plan/Mariposa,951,,,F,
2014-11,Mariposa,Managed Care,Out of County Plan,108,,,F,
2014-11,Mendocino,Fee-for-Service,Fee-for-Service,"4,338",,,F,
2014-11,Mendocino,Managed Care,Out of County Plan,520,,,F,
2014-11,Mendocino,Managed Care,Partnership Health Plan of California/Mendocino,"31,890",,,F,
2014-11,Merced,Fee-for-Service,Fee-for-Service,"15,732",,,F,
2014-11,Merced,Managed Care,Central California Alliance for Health/Merced,"110,781",,,F,
2014-11,Merced,Managed Care,Out of County Plan,881,,,F,
2014-11,Modoc,Fee-for-Service,Fee-for-Service,309,,,F,
2014-11,Modoc,Managed Care,Out of County Plan,27,,,F,
2014-11,Modoc,Managed Care,Partnership Health Plan of California/Modoc,"2,605",,,F,
2014-11,Mono,Fee-for-Service,Fee-for-Service,"1,175",,,F,
2014-11,Mono,Managed Care,Anthem Blue Cross Partnership Plan/Mono,"1,178",,,F,
2014-11,Mono,Managed Care,California Health and Wellness Plan/Mono,762,,,F,
2014-11,Mono,Managed Care,Out of County Plan,117,,,F,
2014-11,Monterey,Fee-for-Service,Fee-for-Service,"28,959",,,F,
2014-11,Monterey,Managed Care,Central California Alliance for Health/Monterey,"124,979",,,F,
2014-11,Monterey,Managed Care,Out of County Plan,865,,,F,
2014-11,Napa,Fee-for-Service,Fee-for-Service,"4,309",,,F,
2014-11,Napa,Managed Care,Out of County Plan,691,,,F,
2014-11,Napa,Managed Care,Partnership Health Plan of California/Napa,"24,208",,,F,
2014-11,Nevada,Fee-for-Service,Fee-for-Service,"7,253",,,F,
2014-11,Nevada,Managed Care,Anthem Blue Cross Partnership Plan/Nevada,"8,924",,,F,
2014-11,Nevada,Managed Care,California Health and Wellness Plan/Nevada,"5,513",,,F,
2014-11,Nevada,Managed Care,Out of County Plan,193,,,F,
2014-11,Orange,Fee-for-Service,Fee-for-Service,"115,104",,,F,
2014-11,Orange,Managed Care,CalOptima PACE/Orange,63,,,F,
2014-11,Orange,Managed Care,CalOptima/Orange,"681,635",,,F,
2014-11,Orange,Managed Care,Out of County Plan,"3,894",,,F,
2014-11,Placer,Fee-for-Service,Fee-for-Service,"19,003",,,F,
2014-11,Placer,Managed Care,Anthem Blue Cross Partnership Plan/Placer,"25,150",,,F,
2014-11,Placer,Managed Care,California Health and Wellness Plan/Placer,"9,592",,,F,
2014-11,Placer,Managed Care,Kaiser Permanente/Placer,"3,195",,,F,
2014-11,Placer,Managed Care,Out of County Plan,888,,,F,
2014-11,Plumas,Fee-for-Service,Fee-for-Service,"1,987",,,F,
2014-11,Plumas,Managed Care,Anthem Blue Cross Partnership Plan/Plumas,"1,666",,,F,
2014-11,Plumas,Managed Care,California Health and Wellness Plan/Plumas,"1,566",,,F,
2014-11,Plumas,Managed Care,Out of County Plan,70,,,F,
2014-11,Riverside,Fee-for-Service,Fee-for-Service,"178,705",,,F,
2014-11,Riverside,Managed Care,Inland Empire Health Plan (CMC)/Riverside,"4,680",,,F,
2014-11,Riverside,Managed Care,Inland Empire Health Plan/Riverside,"469,719",,,F,
2014-11,Riverside,Managed Care,InnovAge PACE/Riverside,18,,,F,
2014-11,Riverside,Managed Care,Molina Healthcare of California (CMC)/Riverside,"2,076",,,F,
2014-11,Riverside,Managed Care,Molina Healthcare of California/Riverside,"67,160",,,F,
2014-11,Riverside,Managed Care,Out of County Plan,"6,457",,,F,
2014-11,Riverside,Managed Care,SCAN Health Plan/Riverside,"1,846",,,F,
2014-11,STATEWIDE,STATEWIDE,STATEWIDE,"12,011,915",,Statewide Total by MOE,F,
2014-11,Sacramento,Fee-for-Service,Fee-for-Service,"120,940",,,F,
2014-11,Sacramento,Managed Care,Anthem Blue Cross/Sacramento,"143,262",,,F,
2014-11,Sacramento,Managed Care,Health Net Community Solutions/Sacramento,"118,024",,,F,
2014-11,Sacramento,Managed Care,Kaiser Permanente/Sacramento,"62,708",,,F,
2014-11,Sacramento,Managed Care,Molina Healthcare of California/Sacramento,"51,821",,,F,
2014-11,Sacramento,Managed Care,Out of County Plan,"3,442",,,F,
2014-11,Sacramento,Managed Care,Sutter SeniorCare/Sacramento,265,,,F,
2014-11,San Benito,Fee-for-Service,Fee-for-Service,"9,299",,,F,
2014-11,San Benito,Managed Care,Anthem Blue Cross/San Benito,"6,848",,,F,
2014-11,San Benito,Managed Care,Out of County Plan,314,,,F,
2014-11,San Bernardino,Fee-for-Service,Fee-for-Service,"204,950",,,F,
2014-11,San Bernardino,Managed Care,Inland Empire Health Plan (CMC)/San Bernardino,"4,333",,,F,
2014-11,San Bernardino,Managed Care,Inland Empire Health Plan/San Bernardino,"482,624",,,F,
2014-11,San Bernardino,Managed Care,InnovAge PACE/San Bernardino,49,,,F,
2014-11,San Bernardino,Managed Care,Molina Healthcare of California (CMC)/San Bernardino,"1,925",,,F,
2014-11,San Bernardino,Managed Care,Molina Healthcare of California/San Bernardino,"77,546",,,F,
2014-11,San Bernardino,Managed Care,Out of County Plan,"6,838",,,F,
2014-11,San Bernardino,Managed Care,SCAN Health Plan/San Bernardino,"1,193",,,F,
2014-11,San Diego,Fee-for-Service,Fee-for-Service,"213,343",,,F,
2014-11,San Diego,Managed Care,Blue Shield of California Promise (CMC)/San Diego,"1,723",,,F,
2014-11,San Diego,Managed Care,Blue Shield of California Promise/San Diego,"61,528",,,F,
2014-11,San Diego,Managed Care,Community Health Group (CMC)/San Diego,"3,376",,,F,
2014-11,San Diego,Managed Care,Community Health Group/San Diego,"224,797",,,F,
2014-11,San Diego,Managed Care,Health Net Community Solutions (CMC)/San Diego,"2,203",,,F,
2014-11,San Diego,Managed Care,Health Net Community Solutions/San Diego,"58,790",,,F,
2014-11,San Diego,Managed Care,Kaiser Permanente/San Diego,"39,019",,,F,
2014-11,San Diego,Managed Care,Molina Healthcare of California (CMC)/San Diego,"2,510",,,F,
2014-11,San Diego,Managed Care,Molina Healthcare of California/San Diego,"159,096",,,F,
2014-11,San Diego,Managed Care,Out of County Plan,"2,311",,,F,
2014-11,San Diego,Managed Care,St. Paul's PACE/San Diego,415,,,F,
2014-11,San Francisco,Fee-for-Service,Fee-for-Service,"73,494",,,F,
2014-11,San Francisco,Managed Care,Anthem Blue Cross/San Francisco,"21,788",,,F,
2014-11,San Francisco,Managed Care,ONLOK Senior Health Services/San Francisco,934,,,F,
2014-11,San Francisco,Managed Care,Out of County Plan,"2,219",,,F,
2014-11,San Francisco,Managed Care,San Francisco Health Plan/San Francisco,"115,752",,,F,
2014-11,San Joaquin,Fee-for-Service,Fee-for-Service,"62,959",,,F,
2014-11,San Joaquin,Managed Care,Health Net Community Solutions/San Joaquin,"20,781",,,F,
2014-11,San Joaquin,Managed Care,Health Plan of San Joaquin/San Joaquin,"185,249",,,F,
2014-11,San Joaquin,Managed Care,Health Plan of San Joaquin/Stanislaus,78,,,F,
2014-11,San Joaquin,Managed Care,Out of County Plan,"1,104",,,F,
2014-11,San Luis Obispo,Fee-for-Service,Fee-for-Service,"7,996",,,F,
2014-11,San Luis Obispo,Managed Care,CenCal Health/San Luis Obispo,"47,126",,,F,
2014-11,San Luis Obispo,Managed Care,Out of County Plan,505,,,F,
2014-11,San Mateo,Fee-for-Service,Fee-for-Service,"31,466",,,F,
2014-11,San Mateo,Managed Care,Health Plan of San Mateo (CMC)/San Mateo,"2,646",,,F,
2014-11,San Mateo,Managed Care,Health Plan of San Mateo/San Mateo,"106,683",,,F,
2014-11,San Mateo,Managed Care,Out of County Plan,"1,228",,,F,
2014-11,Santa Barbara,Fee-for-Service,Fee-for-Service,"24,054",,,F,
2014-11,Santa Barbara,Managed Care,CenCal Health/Santa Barbara,"98,596",,,F,
2014-11,Santa Barbara,Managed Care,Out of County Plan,882,,,F,
2014-11,Santa Clara,Fee-for-Service,Fee-for-Service,"123,413",,,F,
2014-11,Santa Clara,Managed Care,Anthem Blue Cross/Santa Clara,"57,783",,,F,
2014-11,Santa Clara,Managed Care,ONLOK Lifeways/Santa Clara,190,,,F,
2014-11,Santa Clara,Managed Care,Out of County Plan,"2,069",,,F,
2014-11,Santa Clara,Managed Care,Santa Clara Family Health Plan/Santa Clara,"214,817",,,F,
2014-11,Santa Cruz,Fee-for-Service,Fee-for-Service,"10,349",,,F,
2014-11,Santa Cruz,Managed Care,Central California Alliance for Health/Santa Cruz,"59,402",,,F,
2014-11,Santa Cruz,Managed Care,Out of County Plan,936,,,F,
2014-11,Shasta,Fee-for-Service,Fee-for-Service,"4,670",,,F,
2014-11,Shasta,Managed Care,Out of County Plan,431,,,F,
2014-11,Shasta,Managed Care,Partnership Health Plan of California/Shasta,"56,026",,,F,
2014-11,Sierra,Fee-for-Service,Fee-for-Service,274,,,F,
2014-11,Sierra,Managed Care,Anthem Blue Cross Partnership Plan/Sierra,286,,,F,
2014-11,Sierra,Managed Care,California Health and Wellness Plan/Sierra,196,,,F,
2014-11,Sierra,Managed Care,Out of County Plan,12,,,F,
2014-11,Siskiyou,Fee-for-Service,Fee-for-Service,"1,347",,,F,
2014-11,Siskiyou,Managed Care,Out of County Plan,242,,,F,
2014-11,Siskiyou,Managed Care,Partnership Health Plan of California/Siskiyou,"14,649",,,F,
2014-11,Solano,Fee-for-Service,Fee-for-Service,"11,378",,,F,
2014-11,Solano,Managed Care,Out of County Plan,"1,291",,,F,
2014-11,Solano,Managed Care,Partnership Health Plan of California/Solano,"96,767",,,F,
2014-11,Sonoma,Fee-for-Service,Fee-for-Service,"16,213",,,F,
2014-11,Sonoma,Managed Care,Out of County Plan,839,,,F,
2014-11,Sonoma,Managed Care,Partnership Health Plan of California/Sonoma,"97,836",,,F,
2014-11,Stanislaus,Fee-for-Service,Fee-for-Service,"48,958",,,F,
2014-11,Stanislaus,Managed Care,Health Net Community Solutions/Stanislaus,"72,220",,,F,
2014-11,Stanislaus,Managed Care,Health Plan of San Joaquin/Stanislaus,"90,247",,,F,
2014-11,Stanislaus,Managed Care,Out of County Plan,"1,472",,,F,
2014-11,Sutter,Fee-for-Service,Fee-for-Service,"11,682",,,F,
2014-11,Sutter,Managed Care,Anthem Blue Cross Partnership Plan/Sutter,"15,661",,,F,
2014-11,Sutter,Managed Care,California Health and Wellness Plan/Sutter,"9,885",,,F,
2014-11,Sutter,Managed Care,Out of County Plan,246,,,F,
2014-11,Tehama,Fee-for-Service,Fee-for-Service,"8,661",,,F,
2014-11,Tehama,Managed Care,Anthem Blue Cross Partnership Plan/Tehama,"7,806",,,F,
2014-11,Tehama,Managed Care,California Health and Wellness Plan/Tehama,"8,688",,,F,
2014-11,Tehama,Managed Care,Out of County Plan,451,,,F,
2014-11,Trinity,Fee-for-Service,Fee-for-Service,377,,,F,
2014-11,Trinity,Managed Care,Out of County Plan,144,,,F,
2014-11,Trinity,Managed Care,Partnership Health Plan of California/Trinity,"4,075",,,F,
2014-11,Tulare,Fee-for-Service,Fee-for-Service,"56,655",,,F,
2014-11,Tulare,Managed Care,Anthem Blue Cross/Tulare,"83,085",,,F,
2014-11,Tulare,Managed Care,Health Net Community Solutions/Tulare,"90,533",,,F,
2014-11,Tulare,Managed Care,Out of County Plan,996,,,F,
2014-11,Tuolumne,Fee-for-Service,Fee-for-Service,"4,250",,,F,
2014-11,Tuolumne,Managed Care,Anthem Blue Cross Partnership Plan/Tuolumne,"3,728",,,F,
2014-11,Tuolumne,Managed Care,California Health and Wellness Plan/Tuolumne,"5,380",,,F,
2014-11,Tuolumne,Managed Care,Out of County Plan,135,,,F,
2014-11,Ventura,Fee-for-Service,Fee-for-Service,"34,000",,,F,
2014-11,Ventura,Managed Care,Gold Coast Health Plan/Ventura,"170,912",,,F,
2014-11,Ventura,Managed Care,Out of County Plan,"1,017",,,F,
2014-11,Yolo,Fee-for-Service,Fee-for-Service,"7,128",,,F,
2014-11,Yolo,Managed Care,Out of County Plan,572,,,F,
2014-11,Yolo,Managed Care,Partnership Health Plan of California/Yolo,"43,920",,,F,
2014-11,Yuba,Fee-for-Service,Fee-for-Service,"9,954",,,F,
2014-11,Yuba,Managed Care,Anthem Blue Cross Partnership Plan/Yuba,"10,704",,,F,
2014-11,Yuba,Managed Care,California Health and Wellness Plan/Yuba,"7,666",,,F,
2014-11,Yuba,Managed Care,Out of County Plan,252,,,F,
2014-10,Alameda,Fee-for-Service,Fee-for-Service,"116,514",,,F,
2014-10,Alameda,Managed Care,Alameda Alliance for Health/Alameda,"217,242",,,F,
2014-10,Alameda,Managed Care,Anthem Blue Cross Partnership Plan/Alameda,"58,864",,,F,
2014-10,Alameda,Managed Care,Center for Elders Independence/Alameda,558,,,F,
2014-10,Alameda,Managed Care,ONLOK Senior Health Services/Alameda,174,,,F,
2014-10,Alameda,Managed Care,Out of County Plan,"3,163",,,F,
2014-10,Alpine,Fee-for-Service,Fee-for-Service,120,,,F,
2014-10,Alpine,Managed Care,Anthem Blue Cross Partnership Plan/Alpine,129,,,F,
2014-10,Alpine,Managed Care,California Health and Wellness Plan/Alpine,115,,,F,
